If this is checked, rows with valid data will be imported and invalid rows will be dumped into a new file for you to import later.,如果选中此选项，将导入包含有效数据的行，并将无效行转储到新文件中以供稍后导入。
If you are updating," please select ""Overwrite"" else existing rows will not be deleted.",如果你的操作是更新，请选择“覆盖”否则现有的行不会删除。
If you are uploading new records," leave the ""name"" (ID) column blank.",如果您正在上传新记录，那么“名称”（ID）列必须留空。
If you set this, this Item will come in a drop-down under the selected parent.,如果设置此选项，此项将出现在选定父项的下拉菜单中。
If you think this is unauthorized, please change the Administrator password.,如果你认为这是未经授权的，请更改管理员密码。
If your data is in HTML, please copy and paste the exact HTML code including the tags.,如果您的数据是HTML，请复制并粘贴包含标签的准确HTML代码。
Include symbols, numbers and capital letters in the password,在密码中加入符号，数字和大写字母
InnoDB,InnoDB,
Invalid CSV Format,CSV格式无效,
Item cannot be added to its own descendants,项不能被添加到自己的后代,
JS,JS,
JSON,JSON,
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript格式：frappe.query_reports['REPORTNAME'] = {},
John Doe,John Doe,
LDAP Email Field,LDAP电子邮件字段,
LDAP First Name Field,LDAP 名字字段,
LDAP Not Installed,LDAP未安装,
LDAP Search String,LDAP搜索字符串,
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}",LDAP搜索字符串需要以占位符结束，例如 sAMAccountName={0},
LDAP Security,LDAP安全性,
LDAP Server Url,LDAP服务器URL,
LDAP Username Field,LDAP用户名字段,
LDAP is not enabled.,LDAP未启用。,
Letter Head in HTML,HTML格式信头,
"Make \name\"" searchable in Global Search""",让“名称”字段在全局搜索框中可搜索,
Markdown,Markdown,
Modules HTML,HTML模块,
"Must be of type \Attach Image\""""",类型必须为“附加图片”,
MyISAM,MyISAM数据,
"Naming Options:\n<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>\n<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>",命名选项： <ol><li> <b>字段：[fieldname]</b> - 按字段</li><li> <b>naming_series：</b> - 通过命名系列（必须存在名为naming_series的字段</li><li> <b>提示</b> - 提示用户输入名称</li><li> <b>[系列]</b> - 前缀系列（以点分隔）;例如PRE。##### </li><li> <b>格式：示例 -  {MM} morewords {fieldname1}  -  {fieldname2}  -  {#####}</b> - 将所有支撑的单词（字段名，日期字（DD，MM，YY），系列）替换为其值。在大括号外，可以使用任何字符。 </li></ol>,
"You are not allowed to access {0} because it is linked to {1} '{2}' in row {3}, field {4}",您无权访问{0}，因为它链接到{1}“{2}”在行{3}，字段{4},
You are not allowed to access this {0} record because it is linked to {1} '{2}' in field {3},您无权访问此{0}记录，因为它链接到{1}“{2}”在字段{3},
OAuth Authorization Code,OAuth 授权码,
OAuth Bearer Token,OAuth 持有者令牌,
OAuth Client,OAuth 客户端,
OAuth Provider Settings,OAuth 提供商设置,
OTP App,OTP应用程序,
OTP Issuer Name,OTP发行人名称,
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret已被重置。下次登录时需要重新注册。,
OTP secret can only be reset by the Administrator.,OTP秘密只能由管理员重置。,
Office 365,Office 365,
Options for select. Each option on a new line.,选择选项。在新的一行每个选项。,
Outlook.com,Outlook.com,
PDF,PDF,
PDF Page Size,PDF页面大小,
PDF Settings,PDF设置,
PDF generation failed,PDF生成失败,
PDF generation failed because of broken image links,PDF 生成失败，原因是图像链接损坏,
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",尚不支持通过 “原生打印命令” 进行 PDF 打印。请在 “打印机设置” 中删除打印机映射，然后重试。,
Page to show on the website\n,在网站上显示页面,
Parent is the name of the document to which the data will get added to.,Parent是将数据添加到的文档的名称。,
Path to CA Certs File,CA Certs文件的路径,
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.",0级权限是文档级的权限，也就是说，它们是主要用于访问文件。,
Please select another payment method. PayPal does not support transactions in currency '{0}',请选择其他付款方式。PayPal不支持货币 “{0}” 的交易,
Please select another payment method. Razorpay does not support transactions in currency '{0}',请选择其他付款方式。Razorpay不支持货币 “{0}” 的交易,
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip：添加<code>Reference: {{ reference_doctype }} {{ reference_name }}</code>发送文档引用,
Python Module,Python模块,
Pyver,Pyver,
QZ Tray Connection Active!,QZ托盘连接有效！,
QZ Tray Failed: ,QZ托盘失败：,
Razorpay Payment gateway settings,Razorpay支付网关设置,
Razorpay Settings,Razorpay设置,
Redis cache server not running. Please contact Administrator / Tech support,Redis 缓存服务器未运行。请联系管理员 / 技术支持,
S3 Backup Settings,S3备份设置,
S3 Backup complete!,S3备份完成！,
SMTP Server,SMTP服务器,
"SQL Conditions. Example: status=""Open""",SQL条件。例如：状态=“打开”,
SSL/TLS Mode,SSL/TLS模式,
Sendgrid,Sendgrid,
Show failed jobs,显示失败的作业,
Skype,Skype,
Slack,Slack,
Slack Channel,Slack频道,
Slack Webhook Error,Slack Webhook错误,
Slack Webhook URL,Slack Webhook网址,
Slack Webhooks for internal integration,Slack Webhooks用于内部集成,
Socketio is not connected. Cannot upload,Socketio未连接。无法上传,
SparkPost,SparkPost,
Stripe Settings,Stripe设置,
Stripe payment gateway settings,Stripe支付网关设置,
Submitting {0},正在提交{0},
Support Email Address Not Specified,未指定售后支持电子邮箱,
Test_Folder,测试_文件夹,
The CSV format is case sensitive,CSV格式区分大小写,
This field will appear only if the fieldname defined here has value OR the rules are true (examples):\nmyfield\neval:doc.myfield=='My Value'\neval:doc.age&gt;18,该字段只有在此处定义的字段名具有值或规则是真时才显示（例子）：myfield eval:doc.myfield=='My Value' eval:doc.age&gt;18,
"To add dynamic subject, use jinja tags like\n\n<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",要添加动态主题，请使用jinja标签<div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>,
"To add dynamic subject, use jinja tags like\n\n<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",要添加动态主题，用jinja标签，如<div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>,
"Track if your email has been opened by the recipient.\n<br>\nNote: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""",跟踪收件人是否已打开您的电子邮件。 <br>注意：如果您要向多个收件人发送邮件，即使有1个收件人阅读该邮件，也会被视为“已打开”,
UID,UID,
UIDNEXT,UIDNEXT,
UIDVALIDITY,UIDVALIDITY,
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.\n<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook",用于接收用户允许访问后的授权代码以及失败响应的URI。通常是客户端应用暴露的REST端点。<br>例如http://hostname//api/method/frappe.www.login.login_via_facebook,
Unsupported File Format,不支持的文件格式,
Verdana,宋体,
Web Form Field,Web表单字段,
Web Form Fields,Web表单字段,
Web View,Web视图,
Webhook Data,Webhook数据,
Webhook Header,Webhook标题,
Webhook Headers,Webhook标题,
Webhook Request,Webhook请求,
Webhook URL,Webhook URL,
Webhooks calling API requests into web apps,Webhook将API请求调用到Web应用程序中,
XLSX,XLSX,
ap-northeast-1,AP-东北-1,
ap-northeast-2,AP-东北-2,
ap-northeast-3,AP-东北-3,
ap-south-1,AP-南1,
ap-southeast-1,AP-东南-1,
ap-southeast-2,AP-东南-2,
ca-central-1,CA-中央-1,
chevron-down,V形向下,
chevron-left,V形向左,
chevron-right,V形向右,
chevron-up,V形向上,
cn-north-1,CN-北-1,
cn-northwest-1,CN-西北-1,
cog,齿轮,
domain name,域名,
"e.g. ""Support"", ""Sales"", ""Jerry Yang""",例如“支持”、“销售”、“杨杰”,
eu-central-1,欧盟-中央-1,
italic,斜体,
pause,暂停,
road,道路,
sa-east-1,SA-东1,
{0} appreciated your work on {1} with {2} point,{0} 赞赏您在 {1} 上的工作，给予了 {2} 点,
{0} appreciated {1},{0}赞赏{1},
{0} reverted your points on {1},{0}在{1}上恢复了你的点数,
"""amended_from"" field must be present to do an amendment.",必须出现“modified_from”字段才能进行修改。,
(Mandatory),（必须）,
1 Google Calendar Event synced.,1个Google日历活动已同步。,
1 record will be exported,将导出1条记录,
1 week ago,1周前,
5 Records,5条记录,
A recurring {0} {1} has been created for you via Auto Repeat {2}.,通过自动重复{2}为您创建了一个重复的{0} {1}。,
Access not allowed from this IP Address,不允许从该IP地址访问,
Activity Log by ,活动记录,
Administration,管理,
Aggregate Function field is required to create a dashboard chart,创建仪表盘图需要“汇总功能”字段,
Allot Points To Assigned Users,向分配的用户分配点,
Allow Google Calendar Access,允许Google日历访问权限,
Allow Google Drive Access,允许访问谷歌云端硬盘,
Also adding the status dependency field {0},还添加状态依赖项字段{0},
An error occurred while setting Session Defaults,设置会话默认值时发生错误,
Approval Required,需要批准,
Are you sure you want to delete this post?,你确定你要删除这个帖子？,
Are you sure you want to merge {0} with {1}?,您确定要将{0}与{1}合并吗？,
Assignment Day {0} has been repeated.,分配日{0}已重复。,
Assignment Rule Day,分配规则日,
Attach a web link,附加网络链接,
Authorize Google Calendar Access,授权Google日历访问权限,
Authorize Google Drive Access,授权Google Drive Access,
Auto Repeat Document Creation Failed,自动重复文档创建失败,
Auto Repeat Document Creation Failure,自动重复文档创建失败,
Auto Repeat created for this document,为此文档创建了自动重复,
Auto Repeat failed for {0},{0}自动重复失败,
Automatically generates recurring documents.,自动生成定期文档。,
Backing up to Google Drive.,备份到Google云端硬盘。,
Backup Folder ID,备份文件夹ID,
Backup Folder Name,备份文件夹名称,
Callback URL,回调网址,
Check the Error Log for more information: {0},检查错误日志以获取更多信息：{0},
Clear Filters,清除过滤器,
Click on <b>Authorize Google Drive Access</b> to authorize Google Drive Access.,点击<b>授权Google云端硬盘访问权限</b>以授权Google云端硬盘访问权限。,
Click on a file to select it.,单击文件以选择它。,
Click on the link below to approve the request,单击下面的链接批准该请求,
Columns / Fields,列/字段,
"Configure notifications for mentions, assignments, energy points and more.",配置有关提及，任务，能量点等的通知。,
Contact Phone,联系电话,
Contact Synced with Google Contacts.,与Google通讯录同步。,
Context,上下文,
Contribute Translations,贡献翻译,
Controller method get_razorpay_order missing,控制器方法get_razorpay_order缺失,
Core Modules {0} cannot be searched in Global Search.,无法在全局搜索中搜索核心模块{0}。,
Could not create Razorpay order. Please contact Administrator,无法创建Razorpay订单。请联系管理员,
Could not create razorpay order,无法创建razorpay订单,
Create Log,创建日志,
Cron Format,Cron格式,
Daily Events should finish on the Same Day.,日常事件应在同一天结束。,
Daily Long,每日长事件,
Default Role on Creation,创建时的默认角色,
Default Theme,默认主题,
Document Tag,文件标签,
Document Title,文档标题,
Document Type Field Mapping,文档类型字段映射,
Document Type Mapping,文件类型映射,
Document Type {0} has been repeated.,文档类型{0}已重复。,
Don't Import,不导入,
ERPNext Role,ERPNext角色,
Email Account setup please enter your password for: {0},邮箱账户设置，请输入您的密码：{0},
"Email ID must be unique, Email Account already exists for {0}",邮箱ID必须是唯一的，{0}的邮箱账户已经存在,
Enable Allow Auto Repeat for the doctype {0} in Customize Form,在“自定义表单”中为doctype {0}启用“允许自动重复”,
Enable Security,启用安全性,
Energy Point,能量点,
Enter Client Id and Client Secret in Google Settings.,在Google设置中输入客户端ID和客户端密钥。,
Enter Code displayed in OTP App.,输入OTP App中显示的代码。,
Event Configurations,事件配置,
Event Consumer,事件消费者,
Event Consumer Document Type,事件消费者文档类型,
Event Consumer Document Types,事件消费者文档类型,
Event Producer,事件生产者,
Event Producer Document Type,事件生产者文档类型,
Event Producer Document Types,事件生产者文档类型,
Event Streaming,事件流,
Event Subscriber,事件订阅者,
Event Sync Log,事件同步日志,
Event Synced with Google Calendar.,事件与Google日历同步。,
Event Update Log,事件更新日志,
Failed to connect to the Event Producer site. Retry after some time.,无法连接到事件生产者站点。一段时间后重试。,
Failed to create an Event Consumer or an Event Consumer for the current site is already registered.,无法创建事件消费者或当前站点的事件消费者已被注册。,
Fetching default Global Search documents.,正在获取默认的全局搜索文档。,
Fetching posts...,获取帖子中...,
Field To Check,字段检查,
Finished,完成,
"For more information, {0}.",有关更多信息，请{0}。,
Form URL-Encoded,表单URL编码,
Frequently Visited Links,经常访问的链接,
From User,来自用户,
Google API Settings.,Google API设置。,
Google Calendar,Google日历,
"Google Calendar - Could not create Calendar for {0}, error code {1}.",Google日历 - 无法为{0}创建日历，错误代码为{1}。,
"Google Calendar - Could not delete Event {0} from Google Calendar, error code {1}.",Google日历 - 无法从Google日历中删除事件{0}，错误代码为{1}。,
"Google Calendar - Could not fetch event from Google Calendar, error code {0}.",Google日历 - 无法从Google日历中获取事件，错误代码为{0}。,
"Google Calendar - Could not insert contact in Google Contacts {0}, error code {1}.",Google日历 - 无法在Google通讯录{0}中插入联系人，错误代码为{1}。,
"Google Calendar - Could not insert event in Google Calendar {0}, error code {1}.",Google日历 - 无法在Google日历{0}中插入事件，错误代码为{1}。,
"Google Calendar - Could not update Event {0} in Google Calendar, error code {1}.",Google日历 - 无法更新Google日历中的事件{0}，错误代码为{1}。,
Google Calendar Event ID,Google日历事件ID,
Google Calendar Integration.,Google日历集成。,
Google Calendar has been configured.,Google日历已配置完毕。,
Google Contacts,Google 通讯录,
"Google Contacts - Could not sync contacts from Google Contacts {0}, error code {1}.",Google通讯录 - 无法同步Google通讯录{0}中的联系人，错误代码{1}。,
"Google Contacts - Could not update contact in Google Contacts {0}, error code {1}.",Google通讯录 - 无法更新Google通讯录{0}中的联系人，错误代码{1}。,
Google Contacts Id,Google通讯录ID,
Google Contacts Integration is disabled.,Google 通讯录集成已停用。,
Google Contacts Integration.,Google通讯录集成。,
Google Drive,Google 云端硬盘,
Google Drive - Could not create folder in Google Drive - Error Code {0},Google 云端硬盘 - 无法在Google云端硬盘中创建文件夹 - 错误代码{0},
Google Drive - Could not find folder in Google Drive - Error Code {0},Google 云端硬盘 - 在Google云端硬盘中找不到文件夹 - 错误代码{0},
Google Drive Backup Successful.,Google 云端硬盘备份成功。,
Google Drive Backup.,Google 云端硬盘备份。,
Google Drive Integration.,Google 云端硬盘集成。,
Google Drive has been configured.,已配置Google 云端硬盘。,
Google Integration is disabled.,Google集成已停用。,
Google Settings,Google设置,
Group By field is required to create a dashboard chart,“分组依据”字段是创建仪表盘图表所必需的,
HOOK-.####,HOOK-.####,
HTML Page,HTML页面,
Has Mapping,有映射,
Hourly Long,每小时长事件,
If the document has different field names on the Producer and Consumer's end check this and set up the Mapping,如果文档在生产者端和消费者端具有不同的字段名称，请检查并设置映射,
If this is checked the documents will have the same name as they have on the Event Producer's site,如果选中此选项，则文档的名称将与事件生产者网站上的名称相同,
Illegal SQL Query,非法SQL查询,
"Import template should be of type .csv, .xlsx or .xls",导入模板的类型应为.csv，.xlsx或.xls,
Import template should contain a Header and atleast one row.,导入模板应包含标题和至少一行。,
Incoming Change,即将到来的更改,
Invalid Filter Value,无效的过滤器值,
Invalid field name: {0},字段名称无效：{0},
Invalid file URL. Please contact System Administrator.,无效的文件URL。请联系系统管理员。,
Invalid username or password,用户名或密码无效,
JSON Request Body,JSON请求正文,
Javascript is disabled on your browser,您的浏览器禁用了Javascript,
Job,工作,
LDAP Group,LDAP组,
LDAP Group Field,LDAP组字段,
LDAP Group Mapping,LDAP组映射,
LDAP Group Mappings,LDAP组映射,
LDAP Last Name Field,LDAP姓氏字段,
LDAP Middle Name Field,LDAP中间名字段,
LDAP Mobile Field,LDAP移动字段,
LDAP Phone Field,LDAP电话字段,
LDAP User Creation and Mapping,LDAP用户创建和映射,
Last Backup On,上次备份,
Last Execution,最后执行,
Last Update,最后更新,
Local Document Type,本地文件类型,
Main Section (HTML),主要部分（HTML）,
Main Section (Markdown),主要部分（Markdown）,
"Maintains a Log of all inserts, updates and deletions on Event Producer site for documents that have consumers.",在事件生产者网站上维护具有使用者的文档的所有插入，更新和删除的日志。,
Maintains a log of every event consumed along with the status of the sync and a Resync button in case sync fails.,保留所有消耗的事件以及同步状态和“重新同步”按钮的日志，以防同步失败。,
Map columns from {0} to fields in {1},将列从{0}映射到{1}中的字段,
Mapping column {0} to field {1},将列{0}映射到字段{1},
Maximum Points,最高积分,
Maximum points allowed after multiplying points with the multiplier value\n(Note: For no limit leave this field empty or set 0),将点乘以乘数值后允许的最大点（注意：无限制，将此字段留空或设置为0）,
Mention,提到,
Monthly Long,每月长期,
New Notification,新通知,
New {0}: {1},新{0}：{1},
Newsletter should have atleast one recipient,通讯应该至少有一个收件人,
No Google Calendar Event to sync.,没有要同步的Google日历活动。,
No More Activity,没有更多的活动,
No Name Specified for {0},没有为{0}指定名称,
No activity,没有活动,
No contacts linked to document,没有联系人链接到文档,
No documents found tagged with {0},找不到标有{0}的文档,
No more posts,没有更多的帖子,
No posts yet,还没有帖子,
Notification Log,通知日志,
Notification Subscribed Document,通知订阅文件,
Notifications Disabled,通知已禁用,
OAuth Client ID,OAuth客户端ID,
OTP setup using OTP App was not completed. Please contact Administrator.,使用OTP应用程序的OTP设置未完成。请联系管理员。,
Only one {0} can be set as primary.,只能将一个{0}设置为主。,
Open Chat,打开聊天,
Organizational Unit for Users,用户组织单位,
Parent Field must be a valid fieldname,父字段必须是有效的字段名称,
Pin Globally,全局固定,
Please check the filter values set for Dashboard Chart: {},请检查为仪表盘图表设置的过滤器值：{},
Please enable pop-ups in your browser,请在浏览器中启用弹出窗口,
Please find attached {0}: {1},请查找附件{0}：{1},
Print Settings...,打印设置...,
Producer Document Name,生产者文件名称,
Producer URL,生产者网址,
Pull from Google Calendar,从Google日历中提取,
Pull from Google Contacts,从Google通讯录中提取,
Pulled from Google Calendar,从Google日历中提取,
Pulled from Google Contacts,从Google通讯录中提取,
Push to Google Calendar,推送到Google日历,
Push to Google Contacts,推送到Google通讯录,
RAW Information Log,RAW信息日志,
Raw Printing Settings...,原始打印设置...,
Recent Activity,近期活动,
Remote Document Type,远程文档类型,
Repeat on Last Day of the Month,在本月的最后一天重复,
Repeats {0},重复{0},
Report Information,报告信息,
Report with more than 10 columns looks better in Landscape mode.,在横向模式下，超过10列的报告看起来更好。,
Resync,重新同步,
SMS was not sent. Please contact Administrator.,短信未发送。请联系管理员。,
Scheduled Job,计划作业,
Select Date Range,选择日期范围,
Select Google Calendar to which event should be synced.,选择要同步哪个事件的Google日历。,
Select Google Contacts to which contact should be synced.,选择要同步联系人的Google通讯录。,
Send an email to {0} to link it here,发送电子邮件至{0}以在此处链接,
Server Action,服务器操作,
Session Default,会话默认,
Session Default Settings,会话默认设置,
Session Defaults Saved,会话默认值已保存,
Set as Default Theme,设为默认主题,
Showing only first {0} rows out of {1},仅显示{1}中的前{0}行,
"Simple Python Expression, Example: Status in (""Invalid"")",简单的Python表达式，示例：状态（“无效”）,
Skipping Untitled Column,跳过无标题列,
Skipping column {0},跳过列{0},
Social Home,社交主页,
Some columns might get cut off when printing to PDF. Try to keep number of columns under 10.,打印到PDF时，某些列可能会被切断。尽量保持列数低于10。,
Submitting...,提交中...,
Successful Transactions,成功交易,
Successfully Submitted!,提交成功！,
Sync Calendar,同步日历,
Sync with Google Calendar,与Google日历同步,
Synced,已同步,
Syncing {0} of {1},同步{1}中的{0},
Tag Link,标签链接,
Take Backup,备份,
Template Error,模板错误,
The Auto Repeat for this document has been disabled.,此文档的自动重复已被禁用。,
The following records needs to be created before we can import your file.,在导入文件之前，需要创建以下记录。,
The mapping configuration between two doctypes.,两个文档类型之间的映射配置。,
The site which is consuming your events.,正在使用您的事件的站点。,
The site you want to subscribe to for consuming events.,您要订阅消费事件的站点。,
The webhook will be triggered if this expression is true,如果此表达式为true，则将触发webhook,
The {0} is already on auto repeat {1},{0}已经自动重复{1},
There are some linked records which needs to be created before we can import your file. Do you want to create the following missing records automatically?,在我们导入您的文件之前，需要创建一些链接记录。您是否要自动创建以下丢失的记录？,
There should be atleast one row for the following tables: {0},下表至少应有一行：{0},
There should be atleast one row for {0} table,{0}表至少应有一行,
This action is only allowed for {},此操作仅适用于{},
Time Format,时间格式,
Time {0} must be in format: {1},时间{0}必须采用以下格式：{1},
"To configure Auto Repeat, enable ""Allow Auto Repeat"" from {0}.",要配置自动重复，请从{0}启用“允许自动重复”。,
To enable it follow the instructions in the following link: {0},要启用它，请遵循以下链接中的说明：{0},
"To use Google Calendar, enable {0}.",要使用Google日历，请启用{0}。,
"To use Google Contacts, enable {0}.",要使用Google通讯录，请启用{0}。,
"To use Google Drive, enable {0}.",要使用Google云端硬盘，请启用{0}。,
Toggle Public/Private,切换公共/私人,
Tracks milestones on the lifecycle of a document if it undergoes multiple stages.,如果文档经历多个阶段，则跟踪文档生命周期中的里程碑。,
Unchanged,不变的,
Unpin,取消固定,
Untitled Column,无标题栏,
Untranslated,未翻译,
Upcoming Events,即将举行的活动,
Updated To A New Version 🎉,更新到新版本🎉,
Uploaded To Google Drive,已上传到Google云端硬盘,
Use Same Name,使用相同的名称,
Used For Google Maps Integration.,用于Google地图集成,
User ID Property,用户ID属性,
User does not exist,用户不存在,
User {0} has requested for data deletion,用户{0}已请求删除数据,
Users assigned to the reference document will get points.,分配给参考文档的用户将获得积分。,
Verification,验证,
Verification Code,验证码,
Verification code email not sent. Please contact Administrator.,验证码电子邮件未发送。请联系管理员。,
Verifier,验证者,
"View Log of all print, download and export events",查看所有打印，下载和导出事件的日志,
Visit Web Page,访问网页,
Webhook Security,Webhook安全,
Weekly Long,每周长期,
You need to create these first: ,您需要先创建这些：,
You need to enable JavaScript for your app to work.,您需要为应用程序启用JavaScript。,
Your Target,您的目标,
cancelled this document {0},取消了此文档{0},
changed value of {0} {1},{0} {1}的值已更改,
changed values for {0} {1},{0} {1}的值已更改,
empty,空,
of,的,
submitted this document {0},提交了该文档{0},
"tag name..., e.g. #tag",标签名称...，例如#tag,
via Data Import,通过数据导入,
{0} Google Calendar Events synced.,已同步{0} Google日历活动。,
{0} gained {1} point for {2} {3},{0}为{2} {3}赢得了{1}点,
